date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:00:30	6479/6479	---M--	200	added ('OK')	image/jpeg	etag:%22194f-5265d23fb81a7%22	http://www.markusbrunner.de/typo3temp/pics/5f2e2497b8.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/5f2e2497b8.jpg	(from http://www.markusbrunner.de/)
13:00:30	6946/6946	---M--	200	added ('OK')	image/jpeg	etag:%221b22-5265d24020995%22	http://www.markusbrunner.de/typo3temp/pics/bd2e1d1e59.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/bd2e1d1e59.jpg	(from http://www.markusbrunner.de/)
13:00:31	5629/5629	---M--	200	added ('OK')	image/jpeg	etag:%2215fd-5265d24064f5f%22	http://www.markusbrunner.de/typo3temp/pics/d28293f911.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/d28293f911.jpg	(from http://www.markusbrunner.de/)
13:00:31	10757/10757	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:31%20GMT	http://www.markusbrunner.de/impressum.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/impressum.html	(from http://www.markusbrunner.de/)
13:00:31	65431/65431	---M--	200	added ('OK')	image/jpeg	etag:%22ff97-5265d23f27913%22	http://www.markusbrunner.de/typo3temp/pics/fa943ebf05.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/fa943ebf05.jpg	(from http://www.markusbrunner.de/)
13:00:31	9349/9349	---M--	200	added ('OK')	image/jpeg	etag:%222485-5265d24041cda%22	http://www.markusbrunner.de/typo3temp/pics/ef0bf6513f.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/ef0bf6513f.jpg	(from http://www.markusbrunner.de/)
13:00:32	10004/10004	---M--	200	added ('OK')	image/jpeg	etag:%222714-5265d24092dc5%22	http://www.markusbrunner.de/typo3temp/pics/c3f11b0aa9.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/c3f11b0aa9.jpg	(from http://www.markusbrunner.de/)
13:00:32	13216/13216	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:31%20GMT	http://www.markusbrunner.de/ueber-mich/steckbrief.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/ueber-mich/steckbrief.html	(from http://www.markusbrunner.de/)
13:00:32	5123/5123	---M--	200	added ('OK')	image/jpeg	etag:%221403-5265d240c3b0c%22	http://www.markusbrunner.de/typo3temp/pics/25c9266888.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/25c9266888.jpg	(from http://www.markusbrunner.de/)
13:00:33	9978/9978	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:32%20GMT	http://www.markusbrunner.de/programmierung.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/programmierung.html	(from http://www.markusbrunner.de/)
13:00:33	3487/3487	---M--	200	added ('OK')	image/jpeg	etag:%22d9f-5265d240f6793%22	http://www.markusbrunner.de/typo3temp/pics/3c2dbc3d0d.jpg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/typo3temp/pics/3c2dbc3d0d.jpg	(from http://www.markusbrunner.de/)
13:00:34	13472/13472	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:33%20GMT	http://www.markusbrunner.de/kontakt.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/kontakt.html	(from http://www.markusbrunner.de/)
13:00:35	17280/17280	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:34%20GMT	http://www.markusbrunner.de/datenschutz.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/datenschutz.html	(from http://www.markusbrunner.de/)
13:00:36	20955/20955	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:35%20GMT	http://www.markusbrunner.de/sitemap.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/sitemap.html	(from http://www.markusbrunner.de/)
13:00:37	16909/16909	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:36%20GMT	http://www.markusbrunner.de/ueber-mich/studium.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/ueber-mich/studium.html	(from http://www.markusbrunner.de/)
13:00:38	10508/10508	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:37%20GMT	http://www.markusbrunner.de/ueber-mich/lebenslauf.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/ueber-mich/lebenslauf.html	(from http://www.markusbrunner.de/)
13:00:38	10432/10432	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:38%20GMT	http://www.markusbrunner.de/ueber-mich/nachweise.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/ueber-mich/nachweise.html	(from http://www.markusbrunner.de/)
13:00:39	17984/17984	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:38%20GMT	http://www.markusbrunner.de/programmierung/t3-extensions.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/programmierung/t3-extensions.html	(from http://www.markusbrunner.de/)
13:00:40	9732/9732	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Sep%202018%2011:00:39%20GMT	http://www.markusbrunner.de/programmierung/js-plugins.html	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/programmierung/js-plugins.html	(from http://www.markusbrunner.de/)
13:00:40	215/215	---M--	200	added ('OK')	image/gif	etag:%22d7-5264eb54de9d3%22	http://www.markusbrunner.de/fileadmin/content/profile/xing.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/xing.gif	(from http://www.markusbrunner.de/)
13:00:40	493/493	---M--	200	added ('OK')	image/gif	etag:%221ed-5264eb54d8c12%22	http://www.markusbrunner.de/fileadmin/content/profile/twitter.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/twitter.gif	(from http://www.markusbrunner.de/)
13:00:40	1205/1205	---M--	200	added ('OK')	image/gif	etag:%224b5-5264eb54dbaf3%22	http://www.markusbrunner.de/fileadmin/content/profile/photocase.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/photocase.gif	(from http://www.markusbrunner.de/)
13:00:40	1320/1320	---M--	200	added ('OK')	image/gif	etag:%22528-5264eb54d5d32%22	http://www.markusbrunner.de/fileadmin/content/profile/mygall.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/mygall.gif	(from http://www.markusbrunner.de/)
13:00:41	1293/1293	---M--	200	added ('OK')	image/gif	etag:%2250d-5264eb54de9d3%22	http://www.markusbrunner.de/fileadmin/content/profile/500px.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/500px.gif	(from http://www.markusbrunner.de/)
13:00:41	3500/3500	---M--	200	added ('OK')	image/png	etag:%22dac-5264eb54dab53%22	http://www.markusbrunner.de/fileadmin/content/profile/w3c_html5.png	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/w3c_html5.png	(from http://www.markusbrunner.de/)
13:00:41	872/872	---M--	200	added ('OK')	image/png	etag:%22368-5264eb54dbaf3%22	http://www.markusbrunner.de/fileadmin/content/profile/w3c_css.png	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/content/profile/w3c_css.png	(from http://www.markusbrunner.de/)
13:00:41	55721/55721	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b96ef33-d9a9%22	http://w.sharethis.com/button/buttons.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/w.sharethis.com/button/buttons.js	(from http://www.markusbrunner.de/)
13:00:42	19794/19794	---M-Z	200	added ('OK')	application/javascript	etag:W/%225abac9d3-4d52%22	http://s.sharethis.com/loader.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/s.sharethis.com/loader.js	(from http://www.markusbrunner.de/)
13:00:42	8300/8300	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2026%20Jul%202018%2013:17:27%20GMT	http://browser-update.org/update.js	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/browser-update.org/update.js	(from http://www.markusbrunner.de/)
13:00:43	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Sep%202018%2011:00:42%20GMT	http://www.markusbrunner.de/6/typo3/gfx/ol/line.gif	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/6/typo3/gfx/ol/line.gif	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-4c9f7cc1ddb166530404d4f0d450eb83.merged.css)
13:00:43	81668/81668	---M--	200	added ('OK')	image/svg+xml	etag:%2213f04-5264ebd5259a3%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.svg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.svg	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:00:51	41996/41996	---M--	200	added ('OK')	application/font-woff	etag:%22a40c-5264ebd55e3eb%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.woff	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.woff	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:00:57	101304/101304	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218bb8-5264ebd5518c9%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.eot	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.eot	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:00:58	42288/42288	---M--	200	added ('OK')	application/font-woff	etag:%22a530-5264ebd55768a%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.woff	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.woff	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:00:58	84392/84392	---M--	200	added ('OK')	image/svg+xml	etag:%22149a8-5264ebd544da7%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.svg	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.svg	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:02	101144/101144	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2218b18-5264ebd54e9e8%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.eot	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-light-webfont.eot	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:02	101092/101092	---M--	200	added ('OK')	application/font-sfnt	etag:%2218ae4-5264ebd54bb08%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.ttf	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-thin-webfont.ttf	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
13:01:08	36588/36588	---M--	200	added ('OK')	application/font-woff	etag:%228eec-5264ebd52a7c4%22	http://www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.woff	C:/Users/mbrunner/Downloads/htttrack/markusbrunner.de/www.markusbrunner.de/fileadmin/templates/default/fonts/yanonekaffeesatz-bold-webfont.woff	(from http://www.markusbrunner.de/typo3temp/scriptmerger/uncompressed/head-f04df768a19955f7d37478e9e817e058.merged.css)
